Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	Gene Ontology IDs	Subcellular location [CC]
P0C0J1	reviewed	SPEB_STRP1	Streptopain (EC 3.4.22.10) (Exotoxin type B) (Group A streptococcal cysteine protease) (Streptococcal cysteine proteinase) (SPE B) (Streptococcus peptidase A) (SPP)	speB SPy_2039 M5005_Spy1735	Streptococcus pyogenes serotype M1	398	SPy_2039 M5005_Spy1735	NA	GO:0004197; GO:0005576; GO:0005829; GO:0006508; GO:0034050; GO:0042783; GO:0043655; GO:0044164; GO:0051604; GO:0090729; GO:0140321	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:7516997}. Host extracellular space {ECO:0000269|PubMed:18160402, ECO:0000269|PubMed:7516997}. Host cytoplasm {ECO:0000269|PubMed:35545676}.
P66670	reviewed	RNC_STRP1	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc acpA SPy_0531 M5005_Spy0438	Streptococcus pyogenes serotype M1	230	SPy_0531 M5005_Spy0438	NA	GO:0003725; GO:0004525; GO:0005737; GO:0006364; GO:0006369; GO:0006397; GO:0008033; GO:0019843; GO:0031053; GO:0031054; GO:0034475; GO:0046872; GO:0051607	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00104}.
Q99Y92	reviewed	ENDOS_STRP1	Endo-beta-N-acetylglucosaminidase EndoS (EC 3.2.1.96) (Endoglycosidase S)	endoS SPy_1813	Streptococcus pyogenes serotype M1	995	SPy_1813	NA	GO:0005509; GO:0005576; GO:0005975; GO:0033925; GO:0042783; GO:0043655; GO:0090729	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11406581, ECO:0000269|PubMed:18182097}. Host extracellular space {ECO:0000269|PubMed:11406581, ECO:0000269|PubMed:18182097}.
Q99ZW2	reviewed	CAS9_STRP1	CRISPR-associated endonuclease Cas9/Csn1 (EC 3.1.-.-) (SpCas9) (SpyCas9)	cas9 csn1 SPy_1046	Streptococcus pyogenes serotype M1	1368	SPy_1046	NA	GO:0003677; GO:0003723; GO:0004520; GO:0008408; GO:0043571; GO:0046872; GO:0051607	NA
Q9A1S2	reviewed	PILIN_STRP1	Pilin (Lancefield T antigen) (Pilus backbone structural protein)	SPy_0128 M5005_Spy0109	Streptococcus pyogenes serotype M1	340	SPy_0128 M5005_Spy0109	NA	GO:0005576; GO:0009289	SUBCELLULAR LOCATION: Secreted, cell wall; Peptidoglycan-anchor. Fimbrium. Note=Attached to the cell wall by a peptidoglycan anchor.
P0A4G4	reviewed	MTSA_STRP1	Iron ABC transporter substrate-binding lipoprotein MtsA	mtsA SPy_0453 M5005_Spy0368	Streptococcus pyogenes serotype M1	310	SPy_0453 M5005_Spy0368	NA	GO:0005886; GO:0006826; GO:0007155; GO:0046872	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00303}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}.
P0C0G7	reviewed	G3P_STRP1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase) (Plasmin receptor) (Plasminogen-binding protein)	gap gapA plr SPy_0274 M5005_Spy0233	Streptococcus pyogenes serotype M1	336	SPy_0274 M5005_Spy0233	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. {ECO:0000305}.	GO:0004365; GO:0005737; GO:0006006; GO:0006096; GO:0019904; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P58099	reviewed	C5AP_STRP1	C5a peptidase (EC 3.4.21.110) (SCP)	scpA SPy_2010 M5005_Spy1715	Streptococcus pyogenes serotype M1	1181	SPy_2010 M5005_Spy1715	NA	GO:0004252; GO:0005576; GO:0006508; GO:0016020	SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000305}; Peptidoglycan-anchor {ECO:0000305}.
P63735	reviewed	CARA_STRP1	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)	carA SPy_0833 M5005_Spy0642	Streptococcus pyogenes serotype M1	360	SPy_0833 M5005_Spy0642	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01209}.	GO:0004088; GO:0004359; GO:0005524; GO:0005951; GO:0006207; GO:0006526; GO:0006541; GO:0044205	NA
P65243	reviewed	KPRS1_STRP1	Ribose-phosphate pyrophosphokinase 1 (RPPK 1) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase 1) (Phosphoribosyl diphosphate synthase 1) (Phosphoribosyl pyrophosphate synthase 1) (P-Rib-PP synthase 1) (PRPP synthase 1) (PRPPase 1)	prs1 prsA prsA.1 SPy_0020 M5005_Spy0018	Streptococcus pyogenes serotype M1	320	SPy_0020 M5005_Spy0018	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00583}.	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009156; GO:0016301; GO:0016310	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00583}.
